FID,BATTALION_,DIVISION_N,FIRSTIN_DI,RFSNUM,AREA_SQMI,BUREAU,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
87,13,1,57,57,4.02975195,SOUTH BUREAU,0.00101802522894,0.182327874242,15210347.8007813,22668.574904222
88,5,3,27,27,2.52811438,WEST BUREAU,0.00063969664613,0.155483809104,9572802.9765625,19541.6244828609
89,13,1,65,65,2.61471282,SOUTH BUREAU,0.000660381632534,0.152766480022,9864355.66796875,19009.5670363877
90,6,1,49,49,2.30253149,SOUTH BUREAU,0.000580312552957,0.125055147172,8650521.06640625,15075.6012938705
91,6,1,48,48,3.20108593,SOUTH BUREAU,0.000806319782007,0.186638845923,12013045.0351563,22515.9898124806
92,2,1,12,12,3.73478885,CENTRAL BUREAU,0.000945211058642,0.164587880515,14147443.7734375,20168.5025661157
93,11,1,20,20,3.74795361,CENTRAL BUREAU,0.000948171044141,0.155566770985,14186272.234375,19055.7402663537
94,18,1,61,61,4.2283079,SOUTH BUREAU,0.00106956056938,0.157677088976,16000499.6679688,18823.3016597631
95,13,1,66,66,5.32182647,SOUTH BUREAU,0.00134482571837,0.226334349268,20098755.2109375,27213.742888793
96,12,3,74,74,12.200146,VALLEY BUREAU,0.00309299528255,0.301527770747,46373756.5039063,36834.887958967
97,11,1,11,11,1.60304453,CENTRAL BUREAU,0.000405424505832,0.108186293557,6064093.0859375,13078.6409289315
98,6,1,85,85,4.46565265,SOUTH BUREAU,0.00112584615551,0.21843809444,16787901.3007813,27469.6962520651
99,6,1,38,38,5.70800623,SOUTH BUREAU,0.00143896014955,0.271371125707,21455438.4453125,33649.339005745
100,2,1,44,44,2.08810415,CENTRAL BUREAU,0.000528359574951,0.104239583397,7906690.7890625,12764.0515221769
101,2,1,42,42,3.02411155,CENTRAL BUREAU,0.000765594996213,0.150320778331,11462650.8125,17960.2608641568
102,1,1,3,3,1.81479778,CENTRAL BUREAU,0.000459003669919,0.102388114762,6865860.91015625,12495.5262597823
