the_geom,FS_CD,SHP_ADDR,ADDRESS,ZIP,DEPTNAME,HSENO,PREF_DIR,STNAME,STTYPE,SUFF_DIR,UNITDESC,X_COORD,Y_COORD
POINT (-118.52190004739653 34.04457134771043),69,Fire Station 69,15045 SUNSET BLVD,90272,FIRE,15045,,SUNSET,BLVD,,,6403562.99984048,1839013.00007214
POINT (-118.53642079516824 34.24943012846408),70,Fire Station 70,9861 RESEDA BLVD,91324,FIRE,9861,,RESEDA,BLVD,,,6399561.99996848,1913586.99987397
POINT (-118.31545604892439 34.1020464036287),82,Fire Station 82,5769 HOLLYWOOD BLVD,90028,FIRE,5769,,HOLLYWOOD,BLVD,,,6465498.99998398,1860200.00002088
POINT (-118.28774653869456 34.100217673230304),35,Fire Station 35,1601 N HILLHURST AVE,90027,FIRE,1601,N,HILLHURST,AVE,,,6474558.99990857,1858902.99999021
POINT (-118.43553107930846 34.08052088855879),71,Fire Station 71,107 S BEVERLY GLEN BLVD,90024,FIRE,107,S,BEVERLY GLEN,BLVD,,,6429783.99989182,1851971.00007471
POINT (-118.58876718472386 34.19395093246489),72,Fire Station 72,6811 DE SOTO AVE,91303,FIRE,6811,,DE SOTO,AVE,,,6383625.0000184,1893486.0000498
POINT (-118.53637774516599 34.20513950686476),73,Fire Station 73,7419 RESEDA BLVD,91335,FIRE,7419,,RESEDA,BLVD,,,6399489.00011449,1897468.9999578
POINT (-118.30178822261583 34.258651032352134),74,Fire Station 74,7777 FOOTHILL BLVD,91042,FIRE,7777,,FOOTHILL,BLVD,,,6470476.99987048,1916646.99998754
POINT (-118.46657804382652 34.27246110929507),75,Fire Station 75,15345 SAN FERNANDO MISSION BLV,91345,FIRE,15345,,SAN FERNANDO MISSION,BLVD,,,6420707.00000124,1921863.00005421
POINT (-118.34581339017929 34.12669517691025),76,Fire Station 76,3111 N CAHUENGA BLVD WEST,90068,FIRE,3111,N,CAHUENGA,BLVD,W,,6457008.99990365,1868669.00014322
POINT (-118.36694483072537 34.236294355377716),77,Fire Station 77,9224 SUNLAND BLVD,91352,FIRE,9224,,SUNLAND,BLVD,,,6450759.36903022,1908576.5446718
POINT (-118.4057508505372 34.144447832764875),78,Fire Station 78,4041 WHITSETT AVE,91604,FIRE,4041,,WHITSETT,AVE,,,6438895.57517256,1875197.2807218
POINT (-118.29029737711149 33.86844338279925),79,Fire Station 79,18030 S VERMONT AVE,90248,FIRE,18030,S,VERMONT,AVE,,,6473538.99998006,1774632.99989538
POINT (-118.41940284058768 33.940631724725186),80,Fire Station 80,7250 WORLD WAY WEST,90045,FIRE,7250,,WORLD,WAY,W,,6436608.66439207,1802182.15313029
POINT (-118.43977765909119 34.235585723757346),7,Fire Station 7,14123 NORDHOFF ST,91331,FIRE,14123,,NORDHOFF,ST,,,6428745.00000131,1908407.00006337
POINT (-118.25200920290452 34.05851213320664),3,Fire Station 3,108 N. FREMONT AVE,90012,FIRE,108,N,FREMONT,AVE,,,6485335.80939165,1843771.55846839
POINT (-118.31156538931904 33.98941934918524),66,Fire Station 66,1909 W SLAUSON BLVD,90047,FIRE,1909,W,SLAUSON,BLVD,,,6467219.0001529,1818678.0000598
POINT (-118.40616939509613 34.127097716473564),108,Fire Station 108,12520 MULHOLLAND DR,90210,FIRE,12520,,MULHOLLAND,DR,,,6438453.99994023,1869383.00002755
POINT (-118.50058837316446 34.16104807938862),83,Fire Station 83,4960 BALBOA BLVD,91436,FIRE,4960,,BALBOA,BLVD,,,6410230.17187357,1881367.71063814
POINT (-118.59146650583604 34.172777745754104),84,Fire Station 84,21050 BURBANK BLVD,91367,FIRE,21050,,BURBANK,BLVD,,,6382763.40200406,1885785.61879705
POINT (-118.30002885108439 33.79502243814195),85,Fire Station 85,1331 W 253RD ST,90710,FIRE,1331,W,253RD,ST,,,6470505.00014256,1747921.9998398
